Title,Author,Average Rating,Rating,Year Published
"Saving the Modern Soul: Therapy, Emotions, and the Culture of Self-Help",Eva Illouz,4.14,133,2008
The Art of Failure: The Anti Self-Help Guide (Ataraxia Book 6),Neel Burton,3.65,77,2010
"The Generalized Anxiety Disorder Workbook: A Comprehensive CBT Guide for Coping with Uncertainty, Worry, and Fear (New Harbinger Self-help Workbooks)",Melisa Robichaud,4.13,179,2015
The Trigger Point Therapy Workbook: Your Self-Treatment Guide for Pain Relief (A New Harbinger Self-Help Workbook),Clair Davies,4.32,"1,935",2001
"The Dialectical Behavior Therapy Skills Workbook for Anxiety: Breaking Free from Worry, Panic, PTSD, and Other Anxiety Symptoms (A New Harbinger Self-Help Workbook)",Alexander L. Chapman,4.15,242,0
"The Dialectical Behavior Therapy Skills Workbook for Anxiety: Breaking Free from Worry, Panic, PTSD, and Other Anxiety Symptoms (A New Harbinger Self-Help Workbook)",Alexander L. Chapman,4.15,242,0
Things to ponder while taking a shit: Lessons on unfucking your life,Self Help Singh,4.30,53,0
Summary Book - Quiet: The Power of Introverts in a World That Can't Stop Talking - Susan Cain,Self-help Summaries,4.00,36,2012
Not a Self-Help Book: The Misadventures of Marty Wu,Yi Shun  Lai,4.00,133,2016
From Mom to Me Again: How I Survived My First Empty-Nest Year and Reinvented the Rest of My Life (Self-Help Book for Moms on Finding Your Purpose After Your Kids Leave the House),Melissa Shultz,3.44,281,2016
Why He's Just Not That Into You and How to Get Over That Loser Quick,Your Self-Help Angel,3.52,25,2013
The Yoga-CBT Workbook for Anxiety: Total Relief for Mind and Body (A New Harbinger Self-Help Workbook),Julie Greiner-Ferris LICSW,4.14,58,0
Hijacked by Your Brain: How to Free Yourself When Stress Takes Over (Groundbreaking Self-Help Book on Controlling Your Stress for Better Mental Health and Wellness),Julian D. Ford,3.75,179,2013
"Hack Your Anxiety: How to Make Anxiety Work for You in Life, Love, and All That You Do (A Mental Health Self Help Book for Women and Men)",Alicia H.  Clark,3.64,148,2018
"The Joy Plan: How I Took 30 Days to Stop Worrying, Quit Complaining, and Find Ridiculous Happiness (Self-Help Book for Leaving Stress and Anxiety Behind and Finding Your Joy)",Kaia Roman,3.87,323,0
"The Joy Plan: How I Took 30 Days to Stop Worrying, Quit Complaining, and Find Ridiculous Happiness (Self-Help Book for Leaving Stress and Anxiety Behind and Finding Your Joy)",Kaia Roman,3.87,323,0
"Body Language: The Ultimate Self Help Guide on How To Analyze People And Learn Negotiation, Persuasion Skills For Dating And Influence People In Business",Matthew Harvey,3.35,131,0
"Elevate: Push Beyond Your Limits and Unlock Success in Yourself and Others (Motivational Leadership, Self-Help Book) (Ignite Reads)",Robert Glazer,4.09,904,2019
"The Bipolar II Disorder Workbook: Managing Recurring Depression, Hypomania, and Anxiety (A New Harbinger Self-Help Workbook)",Stephanie McMurrich Roberts,4.23,202,2014
Love Yourself Like Your Life Depends on It: The positive self-help phenomenon,Kamal Ravikant,3.87,"4,836",2012
The Body Image Workbook: An Eight-Step Program for Learning to Like Your Looks (A New Harbinger Self-Help Workbook),Thomas F. Cash,3.93,222,2008
Close Your Mouth: Buteyko Breathing Clinic Self Help Manual,Patrick McKeown,4.00,273,2004
Overcoming Anxiety: A Self-Help Guide Using Cognitive Behavioral Techniques,Helen Kennerley,3.76,421,1997
Rebellious Aging: A Self-help Guide for the Old Hippie at Heart (Hippie-at-Heart Self-Help Series),Margaret Nash,3.70,97,2015
Psychobabble: Exploding the Myths of the Self-Help Generation,Stephen Briers,3.56,295,2012
How to Change your Life in the next 15 minutes (Self-Help 101),Rahul Badami,3.72,297,2013
Deliver Me From Negative Emotions: Emotional Self Help for Controlling Negative Feelings and Gaining Emotional Freedom (Negative Self Talk Book 2),Lynn R. Davis,4.52,173,2014
"The Resilience Workbook: Essential Skills to Recover from Stress, Trauma, and Adversity (A New Harbinger Self-Help Workbook)",Glenn R. Schiraldi,4.11,99,0
Professors as Writers: A Self-Help Guide to Productive Writing,Robert Boice,3.92,226,1990
Family Ties That Bind: A self-help guide to change through Family of Origin therapy.,Ronald W. Richardson,3.86,254,1984
"The Extremely Busy Woman's Guide to Self-Care: Do Less, Achieve More, and Live the Life You Want (Self-Help Workbook for Stress Relief and Mental Health)",Suzanne Falter,3.49,261,2019
The Self-Esteem Workbook (A New Harbinger Self-Help Workbook),Glenn R. Schiraldi,4.00,728,2001
"DIY Household Hacks: Discover 150 Simple and Effective Household Hacks to Increase Productivity and Save Time and Money: DIY Household Hacks for Beginners, ... - Self Help - DIY Hacks - DIY Household)",Christina Stone,3.45,121,2014
"The Art of Psychological Warfare: 51 Principles of Conflict Resolution, Negotiation, Strategy, Office Politics, Career Building, Self Help, & Motivation for Success & Happiness in Business & Life",Mark B. Warring,4.13,166,2015
"Every Monday Matters: How to Kick Your Week Off with Passion, Purpose, and Positivity (Inspirational Self-Help Book) (Ignite Reads Book 0)",Matthew Emerzian,3.31,139,0
The NO-BS Self-Help Book: The No-Fluff Guide to Self-Mastery,Honerod,4.25,51,0
Life Sucks. Get Used To It. : NOT a Self-Help Book. But Might Change your Life.,Mohamed Zubair,4.20,79,0
The Queer and Transgender Resilience Workbook: Skills for Navigating Sexual Orientation and Gender Expression (New Harbinger Self-Help Workbook),Anneliese A. Singh,4.25,139,2018
A Self-Help Guide for Copywriters: A resource for writing headlines and building creative confidence,Dan Nelken,4.54,320,0
Mind Programming: From Persuasion and Brainwashing to Self-Help and Practical Metaphysics,Eldon Taylor,3.72,270,2009
Everything I Need to Know I Learned from Dungeons & Dragons  - One Woman's Quest to Trade Self-Help for Elf-Help,Shelly Mazzanoble,3.32,315,2011
"The CBT Anxiety Solution Workbook: A Breakthrough Treatment for Overcoming Fear, Worry, and Panic (A New Harbinger Self-Help Workbook)",Matthew McKay,3.98,50,0
Harry Potter Therapy: An Unauthorized Self-Help Book from the Restricted Section,Janina Scarlet,4.01,192,0
"Be Awesome, Live Awesome: A 'Non-Pakau' self help book",Him-eesh Madaan,4.05,66,2014
The Stop Walking on Eggshells Workbook: Practical Strategies for Living with Someone Who Has Borderline Personality Disorder (A New Harbinger Self-Help Workbook),James Paul Shirley,4.03,262,0
"Cognitive Behavioral Therapy (CBT): Master Your Brain and Emotions to Overcome Anxiety, Depression and Negative Thoughts (CBT Self Help Book 1- Cognitive Behavioral Therapy)",Bill Andrews,3.69,107,0
"Self-Care: A Course in Self-Care: Heal Your Body, Mind & Soul Through Self-Love and Mindfulness (Self Care, Self Love, Self Compassion, Heal Your Body, ... Change Your Mind, Self Help Book Women 1)",Ankita S.,4.05,87,0
"The Food Addiction Recovery Workbook: How to Manage Cravings, Reduce Stress, and Stop Hating Your Body (A New Harbinger Self-Help Workbook)",Carolyn Coker Ross,3.77,52,0
Find Your Reason: Goal Setting Exercises,Self Help Now,3.25,4,2009
"How to Analyze People: A Psychologist’s Guide to Master the Art of Speed Reading Anyone, Through Psychological Techniques & Body Language Analysis (Psychology Self-Help Book 6)",Katherine Chambers,3.48,107,0
Mach2: How to Master Self-Motivation & Stay on Fire for Life; Naturally Unleash Your Power Within; One of the Best Self Help ... Affirmations Proven to Change Your Mindset!,Richard Bliss Brooke,4.28,274,2001
The P.R.I.M.E.R. Goal Setting Method: The Only Goal Achievement Guide You'll Ever Need! (Self-Help Books for Busy People Book 3),Damon Zahariades,4.03,116,0
Dreamland - A Self-Help manual,Andri Snær Magnason,4.14,339,2006
Who Are You Meant to Be?: A Groundbreaking Step-by-Step Process for Discovering and Fulfilling Your True Potential (Motivational Personal Growth and Self-Help Book for Living Authentically),Anne Dranitsaris,3.43,63,2013
Self Discipline: The Blueprint To Master Self Discipline (Self Help Blueprints Book 1),Self Help Blueprints,3.00,4,0
"How to Analyze People: A Psychologist’s Guide to Master the Art of Speed Reading Anyone, Through Psychological Techniques & Body Language Analysis (Psychology Self-Help Book 6)",Katherine Chambers,3.48,107,0
"The Shyness and Social Anxiety Workbook: Proven, Step-by-Step Techniques for Overcoming Your Fear (A New Harbinger Self-Help Workbook)",Martin M. Antony PhD,3.83,312,2000
Minimalism: How to Simplify your life in the Digital age & gain inner fulfilment,Self Help Guide,3.59,17,0
Introvert Power: Why Your Inner Life Is Your Hidden Strength (Reduce Anxiety and Boost Your Confidence and Self-Esteem with this Self-Help Book for Introverted Women and Men),Laurie A. Helgoe,3.85,"5,663",2008
This Book Could Fix Your Life: The Science of Self Help,Helen  Thomson,3.65,336,2021
Self Help Spirituality,Anthony  Garcia,4.00,2,2023
The Cognitive Behavioral Coping Skills Workbook for PTSD: Overcome Fear and Anxiety and Reclaim Your Life (A New Harbinger Self-Help Workbook),Matthew T. Tull,4.10,39,2017
You Are (A Comedy) Special: A Simple 15-Step Self-Help Guide to Forcibly Force Yourself to Write and Perform a Full Hour of Stand-up Comedy,Maria Bamford,3.94,268,0
The Last Self Help Book that you will ever need to be happy,Don E. Miller,4.29,7,0
Loving Ordinary Life: The Self-Help Book for People Who Are Tired of Self-Help Books,Anastasia Petrenko,3.99,98,0
Freedom from Maladaptive Daydreaming: Self-Help Strategies for Excessive and Compulsive Fantasizing,Katherine Andler,3.56,90,2013
Loving Ordinary Life: The Self-Help Book for People Who Are Tired of Self-Help Books,Anastasia Petrenko,3.99,98,0
"Don't Wait For Opportunity Create It (success habits, millionaire success habits, psychology of winning, gorilla mindset, self-help Book 1)",S. Baker,3.89,92,0
"Overcome Social Anxiety and Shyness: A Step-By-Step Self Help Action Plan to Overcome Social Anxiety, Defeat Shyness and Create Confidence",Matt Lewis,4.11,130,2017
"10 MINUTES SELF-MOTIVATION!: Think and Act….Believe in yourself…..(Self help & self help books, motivational self help books,personal development, self improvement)",Birister Sharma,3.93,84,0
Escaping the Dark House: A Self Help Memoir of Depression,William A.  Peters,4.08,13,2015
Confessions of a Self-Help Writer: The Journal of Michael Enzo,Benjamin DeHaven,3.60,47,2014
100 Self-Help Journal Prompts: Self Help Journal Writing Ideas,Francie Brunswick,4.02,45,2014
"The End of Self-Help: Discovering Peace and Happiness Right at the Heart of Your Messy, Scary, Brilliant Life",Gail  Brenner,4.17,95,2015
"Don't Sweat the Small Stuff Workbook, The: Exercises, Questions, and Self-Tests to Help You Keep the Little Things From Taking Over Your Life",Richard Carlson,3.72,107,1998
100 Self-Help Journal Prompts: Self Help Journal Writing Ideas,Francie Brunswick,4.02,45,2014
The Upward Spiral Workbook: A Practical Neuroscience Program for Reversing the Course of Depression (A New Harbinger Self-Help Workbook),Alex Korb,4.32,91,0
Complete Self Help for Your Nerves,Claire Weekes,4.07,154,1997
God Wants You Happy: From Self-Help to God's Help,Jonathan  Morris,4.02,254,2011
"Anxiety Relief: Self Help (With Heart) For Anxiety, Panic Attacks, And Stress Management",John  Crawford,4.52,93,0
The Art of War (GP Self-Help Collection Book 6),Sun Tzu,3.96,"1,310",7303
How to Stay Motivated & Happy,It Researches Self Help Team,2.25,4,2014
The Qigong Workbook for Anxiety: Powerful Energy Practices to Rebalance Your Nervous System and Free Yourself from Fear (New Harbinger Self-Help Workbook),Kam Chuen Lam,4.27,30,2014
Overcoming Health Anxiety: A Self-Help Guide Using Cognitive Behavioral Techniques,David Veale,3.92,138,2009
SELF-HELP10: AS YOU THINK AS YOU BECOME!: Nobody can stop you.....,Birister Sharma,3.74,89,0
SELF-HELP10: AS YOU THINK AS YOU BECOME!: Nobody can stop you.....,Birister Sharma,3.74,89,0
"Positive Thoughts For A Positive Attitude: A Collection of Best Facebook quotes, Inspirational Words, Daily Declarations, Motivational Sayings, and Spiritual Devotions",Lynn R. Davis,3.90,73,2014
"Anxiety Relief: Self Help (With Heart) For Anxiety, Panic Attacks, And Stress Management",John  Crawford,4.52,93,0
Overcoming Health Anxiety: A Self-Help Guide Using Cognitive Behavioral Techniques,David Veale,3.92,138,2009
The Qigong Workbook for Anxiety: Powerful Energy Practices to Rebalance Your Nervous System and Free Yourself from Fear (New Harbinger Self-Help Workbook),Kam Chuen Lam,4.27,30,2014
How to Stay Motivated & Happy,It Researches Self Help Team,2.25,4,2014
How to Be a Good German Shepherd Dog: Self-Help for the Confused,Gwynneth Mary Lovas,3.50,8,0
Summary: The 5 Levels of Leadership (Proven Steps to Maximize Your Potential - John C Maxwell Book 1),Self-help Summaries,4.00,4,2012
"The ADHD Workbook for Kids: Helping Children Gain Self-Confidence, Social Skills, and Self-Control",Lawrence E. Shapiro,4.01,142,2010
Growing from Depression: A Self-Help Guide,Neel Burton,3.82,165,2010
"The Expanded Dialectical Behavior Therapy Skills Training Manual: Practical DBT for Self-Help, and Individual & Group Treatment Settings",Lane Pederson Psy.D. LP DBTC,4.10,191,2011
"Feel Good Club: The perfect guide to positivity, self-help and self-esteem. ‘A Must Have for your happiness toolkit’ Steven Bartlett",Kiera Lawlor-Skillen,4.07,184,0
"12 books in 1 - Happiness, Self-Esteem, Personal Growth, Stress Management, Self-Help, Mindfulness & Meditation, Body-Mind-Spirit, Motivational & Inspirational, ... Emotions, Healing, Zen (""How To"" Books)",HTeBooks,3.80,61,0
"The Anger Control Workbook: Simple, Innovative Techniques for Managing Anger (A New Harbinger Self-Help Workbook)",Matthew McKay,4.02,122,2000
"Why Bother? Because Self-Help Is Never Stupid: TRANSFORM BEING PISSED-OFF, NUMB, in DENIAL, or EMOTIONAL INTO PEACE & PASSION",Martha DuSage,4.14,7,2014
"5 Daily Reminders To Change Your Life: Every day is a new day to start your life…..(Self help & self help books, motivational self help books, personal development, self improvement)",Birister Sharma,4.06,123,0
The Mindfulness and Acceptance Workbook for Social Anxiety and Shyness: Using Acceptance and Commitment Therapy to Free Yourself from Fear and Reclaim Your Life (A New Harbinger Self-Help Workbook),Jan E. Fleming,3.97,65,2013
Nuclear War Survival Skills: Lifesaving Nuclear Facts and Self-Help Instructions,Cresson H. Kearny,3.87,71,2016
"Talk Yourself Better: A Confused Person's Guide to Therapy, Counselling and Self-Help",Ariane Sherine,3.68,79,0
"Raising a Self-Disciplined Child: Help Your Child Become More Responsible, Confident, and Resilient",Robert B. Brooks,3.71,89,2004
"Make Money, Live Wealthy: 75 Successful Entrepreneurs Share the 10 Simple Steps to True Wealth: Money, Investing, Lifestyle, Entrepreneurship, Self-Help, Millionaire",Austin Netzley,4.02,127,2014
Four-Word Self-Help: Simple Wisdom For Complex Lives,Patti Digh,4.16,151,2010
"Exploring Depression, and Beating the Blues: A CBT Self-Help Guide to Understanding and Coping with Depression in Asperger’s Syndrome [ASD-Level 1]",Tony Attwood,4.18,39,2016
"I'm Dysfunctional, You're Dysfunctional: The Recovery Movement and Other Self-Help",Wendy Kaminer,3.79,78,1992
The Frozen Shoulder Workbook: Trigger Point Therapy for Overcoming Pain and Regaining Range of Motion (A New Harbinger Self-Help Workbook),Clair Davies NCTMB,4.14,144,2006
The Gentle Way: A Self-Help Guide for those who Believe in Angels,Tom T. Moore,4.22,186,2006
Bad Yogi: The Funniest Self-Help Memoir You'll Ever Read,Alice  Williams,3.92,180,0
"The Self-Help Bible: All the Answers for a Happier, Healthier Life",George Mahood,4.40,168,0
Success Through a Positive Mental Attitude (DF Self-Help Treasure Book 4),Napoleon Hill,4.29,"0,966",1960
"Get Up: A 12-Step Guide to Recovery for Misfits, Freaks, and Weirdos (Addiction Recovery and Al-Anon Self-Help Book)",Bucky Sinister,4.07,161,2008
Finding Life Beyond Trauma: Using Acceptance and Commitment Therapy to Heal from Post-Traumatic Stress and Trauma-Related Problems (New Harbinger Self-Help Workbook),Victoria M. Follette,3.94,72,2007
"I'm Dysfunctional, You're Dysfunctional: The Recovery Movement and Other Self-Help",Wendy Kaminer,3.79,78,1992
"How I Made Over $1 Million Using The Law of Attraction: The Last Law of Attraction, How-To, Or Self-Help Book You Will Ever Need To Read (Law of Attraction Series)",E.K. Santo,4.12,139,2012
"Get a Grip, Love: The hilarious, honest story about living with depression, and how-to self help guide to recovering from a mental health illness",Kate Lucey,4.07,151,0
The Life Strategies Workbook: Exercises and Self-Tests to Help You Change Your Life,Phillip C. McGraw,3.29,89,2000
Stop Chasing Carrots: Healing Self-Help Deceptions With a Scientific Philosophy of Life,Chris Masi,4.00,137,2015
Self Help: Life Lessons from the Bizarre Wrestling Career of Al Snow,Al Snow,4.09,180,0
The Frozen Shoulder Workbook: Trigger Point Therapy for Overcoming Pain and Regaining Range of Motion (A New Harbinger Self-Help Workbook),Clair Davies NCTMB,4.14,144,2006
"Hygge Simplified: A Guide to Scandinavian Coziness, Comfort and Conviviality",Tim Rayborn,3.72,118,0
Awaken the Power Within: In Defense of Self-Help,Albert Amao Soria,4.22,9,0
Finding Life Beyond Trauma: Using Acceptance and Commitment Therapy to Heal from Post-Traumatic Stress and Trauma-Related Problems (New Harbinger Self-Help Workbook),Victoria M. Follette,3.94,72,2007
The Life Strategies Workbook: Exercises and Self-Tests to Help You Change Your Life,Phillip C. McGraw,3.29,89,2000
Awaken the Power Within: In Defense of Self-Help,Albert Amao Soria,4.22,9,0
The Mindfulness Workbook for OCD: A Guide to Overcoming Obsessions and Compulsions Using Mindfulness and Cognitive Behavioral Therapy (A New Harbinger Self-Help Workbook),Jon Hershfield,4.40,530,2013
Who Says You Can't? You Do: The life-changing self help book that's empowering people around the world to live an extraordinary life,Daniel Chidiac,4.14,"2,522",2013
Self-Discipline in Difficult Times: Pressing Ahead (or Not) When Your World Turns Upside Down (Self-Help Essays Book 1),Martin Meadows,4.03,75,0
"Hygge Simplified: A Guide to Scandinavian Coziness, Comfort and Conviviality",Tim Rayborn,3.72,118,0
"Self-Help, Inc.: Makeover Culture in American Life",Micki McGee,3.98,51,2005
How To Write A Scientific Paper: An Academic Self-Help Guide for PhD Students,Jari Saramäki,4.65,71,0
The Grrl Genius Guide to Sex (with Other People): A Self-Help Novel,Cathryn Michon,4.14,135,2004
"Good Grief: A self-help guide to recovery after death, and memoir about the covid 19 pandemic and loss of gang of four member Andy Gill, by an award-winning author: Embracing life at a time of death",Catherine Mayer,3.54,122,0
Self Help Books: The 101 Best Personal Development Classics,Vic Johnson,3.68,68,2012
Self Love: The Blueprint To Master Self Love (Self Help Blueprints Book 3),Self Help Blueprints,5.00,1,0
The Grrl Genius Guide to Sex (with Other People): A Self-Help Novel,Cathryn Michon,4.14,135,2004
"The Greatest Self-Help Book (is the one written by you): A Daily Journal for Gratitude, Happiness, Reflection and Self-Love",Vex King,4.48,25,0
Overcoming Depersonalization and Feelings of Unreality: A Self-Help Guide Using Cognitive Behavioral Techniques,Anthony S. David,3.95,22,2007
The OCD Workbook: Your Guide to Breaking Free from Obsessive-Compulsive Disorder (A New Harbinger Self-Help Workbook),Bruce M. Hyman,3.95,390,1999
"The Chemistry of Joy Workbook: Overcoming Depression Using the Best of Brain Science, Nutrition, and the Psychology of Mindfulness (A New Harbinger Self-Help Workbook)",Henry Emmons MD,3.92,80,2012
"Just Stop Having Problems, Stupid!: The Anti-Self Help Guide",Dr. Matt,3.69,70,2007
Borderline Personality Disorder : 30+ Secrets How To Take Back Your Life When Dealing With BPD,The Blokehead,3.33,15,2014
Self Help Books: The 101 Best Personal Development Classics,Vic Johnson,3.68,68,2012
"The Greatest Self-Help Book (is the one written by you): A Daily Journal for Gratitude, Happiness, Reflection and Self-Love",Vex King,4.48,25,0
"Feeling Better, Getting Better, Staying Better : Profound Self-Help Therapy For Your Emotions",Albert Ellis,3.79,107,2004
The OCD Workbook: Your Guide to Breaking Free from Obsessive-Compulsive Disorder (A New Harbinger Self-Help Workbook),Bruce M. Hyman,3.95,390,1999
"The Stepmoms' Club: How to Be a Stepmom without Losing Your Money, Your Mind, and Your Marriage (A Parenting Self-Help Book to Create Happy Blended Families)",Kendall Rose,3.89,150,0
"Just Stop Having Problems, Stupid!: The Anti-Self Help Guide",Dr. Matt,3.69,70,2007
